ID,Creation year,Cielab b*,"No, hand folds",pH value,Recommended storage (based on pH),Recommended storage (based on hand folds),Overall storage recommenda-tion,Recommended use (based on hand folds),,,,,,,,,
170,1961,25.18,3,4.4,Cold,Cold,Cold,None,,,,Criteria,,,,Criteria,
171,1905,11.83,99,5,Cold,Room,Cold,Unrestricted,,,,Storage,pH,hand folds,,Use,handfolds
172,1924,9.06,99,5.7,Cool,Room,Cool,Unrestricted,,,,Freeze,<4.2,,,None,< or = 3
173,1956,5.34,99,4.4,Cold,Room,Cold,Unrestricted,,,,Cold,<5.7,< or = 3,,Careful,< or = 12
174,1955,7.34,99,4.5,Cold,Room,Cold,Unrestricted,,,,Cool,<7.2,< or = 12,,Unrestricted,>12
175,1903,10.69,12,4.8,Cold,Cool,Cold,Careful,,,,Room,> or = 7.2,>12,,,
176,1960,9.97,99,5.2,Cold,Room,Cold,Unrestricted,,,,,,,,,
177,1966,15.83,99,5.2,Cold,Room,Cold,Unrestricted,,,,,,,,,
178,1960,0.99,99,5.2,Cold,Room,Cold,Unrestricted,,,,,,,,,
179,1976,6.31,99,5.9,Cool,Room,Cool,Unrestricted,,,,,,,,,
180,1975,15.43,99,4.4,Cold,Room,Cold,Unrestricted,,,,,,,,,
181,1977,7.16,99,5.9,Cool,Room,Cool,Unrestricted,,,,,,,,,
182,1972,9.58,99,5,Cold,Room,Cold,Unrestricted,,,,,,,,,
183,1979,1.38,99,7.9,Room,Room,Room,Unrestricted,,,,,,,,,
184,1981,14.67,99,4.7,Cold,Room,Cold,Unrestricted,,,,,,,,,
185,1981,2.41,99,5.4,Cold,Room,Cold,Unrestricted,,,,,,,,,
186,1983,0.08,99,4.9,Cold,Room,Cold,Unrestricted,,,,,,,,,
187,1985,14.7,99,4.7,Cold,Room,Cold,Unrestricted,,,,,,,,,
188,1984,9.58,99,7.9,Room,Room,Room,Unrestricted,,,,,,,,,
189,1983,11.24,99,6,Cool,Room,Cool,Unrestricted,,,,,,,,,
190,1958,9.06,99,4.7,Cold,Room,Cold,Unrestricted,,,,,,,,,
